CiscoPN,Description,DeviceType,Fixed-Modular,Rackmount,Powers,P2,Fans,F2,Accessories,A2,A3,A4,A5,A6,Blank,B2,B3,Console,DIMS,Weight,ID,Other,images
WS-C2960L-16PS-LL,"Catalyst 2960L 16 port GigE with PoE, 2 x 1G SFP, LAN Lite",Switch,Fixed,RCKMNT-19-CMPCT=,,,,,,,,,,,,,,"RJ45 , USB Mini B",9.45 x 10.56 x 1.73,4.65,543,,
WS-C2960L-24PS-LL-WS,"Catalyst 2960L 24-port GigE w/ PoE, 4x1G SFP, LAN Lite",Switch,Fixed,RCKMNT-1RU=,,,,,,,,,,,,,,"RJ45 , USB Mini B",10.45 x 17.5 x 1.73,7.41,544,,
WS-C2960L-48PQ-LL,"Catalyst 2960L 48 port GigE PoE+, 4x10G SFP+, Lan Lite",Switch,Fixed,RCKMNT-1RU-2KX,,,,,,,,,,,,,,"RJ45 , USB Mini B",11.5 x 17.5 x 1.73,9.81,545,,
WS-C2960L-48TS-LL,CISCO CATALYST WS-C2960L-48TS-LL,Switch,Fixed,RCKMNT-1RU-2KX,,,,,,,,,,,,,,"RJ45 , USB Mini B",9.45 x 17.5 x 1.73,6.57,546,,
WS-C2960L-8PS-LL,"Catalyst 2960L 8 port GigE with PoE, 2 x 1G SFP, LAN Lite",Switch,Fixed,RCKMNT-19-CMPCT=,,,,,,,,,,,,,,"RJ45 , USB Mini B",9.45 x 10.56 x 1.73,4.5,547,,
WS-C2960L-8PS-LL-WS,"8 port 10/100/1000 Ethernet PoE+ ports, 2 x 1G SFP",,,,,,,,,,,,,,,,,,,,548,,
WS-C2960S-24PD-L,"Catalyst 2960S 24 GigE PoE 370W, 2",Switch,Fixed,RCKMNT-1RU=,,,,,,,,,,,C2960S-BLANK,,,RJ45,17.5 x 15.2 x 1.75,12.5,549,,
WS-C2960S-24TS-S,"Catalyst 2960S 24 GigE, 2 x SFP LAN LITE",Switch,Fixed,RCKMNT-1RU=,,,,,,,,,,,C2960S-BLANK,,,RJ45,17.7 x 11.8 x 1.75,10,550,,
WS-C2960S-48FPD-L,"Catalyst 2960S 48 GigE PoE 740W, 2",Switch,Fixed,RCKMNT-1RU=,,,,,,,,,,,C2960S-BLANK,,,RJ45,17.5 x 15.2 x 1.75,13,551,,
WS-C2960S-48FPS-L,"Catalyst 2960S 48 GigE PoE 740W, 4",Switch,Fixed,RCKMNT-1RU=,,,,,,,,,,,C2960S-BLANK,,,RJ45,17.5 x 15.2 x 1.75,13,552,,
WS-C2960S-48LPD-L,"Catalyst 2960S 48 GigE PoE 370W, 2",Switch,Fixed,RCKMNT-1RU=,,,,,,,,,,,C2960S-BLANK,,,RJ45,17.5 x 15.2 x 1.75,12.5,553,,
WS-C2960S-48LPS-L,"Catalyst 2960S 48 GigE PoE 370W, 4",Switch,Fixed,RCKMNT-1RU=,,,,,,,,,,,C2960S-BLANK,,,RJ45,17.5 x 15.2 x 1.75,12.5,554,,
WS-C2960S-48TD-L,"Catalyst 2960S 48 GigE, 2 x 10G",Switch,Fixed,RCKMNT-1RU=,,,,,,,,,,,C2960S-BLANK,,,RJ45,17.5 x 11.8 x 1.75,9.5,555,,
WS-C2960S-48TS-L,"Catalyst 2960S 48 GigE, 4 x SFP LAN",Switch,Fixed,RCKMNT-1RU=,,,,,,,,,,,C2960S-BLANK,,,RJ45,17.7 x 11.8 x 1.75,10.5,556,,
WS-C2960S-STACK,FLEXSTACK HOT-SWAPPABLE STACKING,Module,,,,,,,,,,,,,,,,,,,557,,
WS-C2960X-24PD-L-WS,"Catlyst 2960X 24 GigE PoE 370W, 2x10G SFP+, LANBase",Switch,Fixed,RCKMNT-1RU-2KX,,,,,,,,,,,C2960X-BLANK,,,RJ45,14.5 x 17.5 x 1.75,12.7,558,,
WS-C2960X-24PS-L-WS,"Catalyst 2960-X 24 GE PoE 370W, 4x1G SFP, LAN Base",Switch,Fixed,RCKMNT-1RU-2KX,,,,,,,,,,,C2960X-BLANK,,,RJ45,14.5 x 17.5 x 1.75,12.8,559,,
WS-C2960X-48FPD-L-WS,"Catalyst 2960-X 48GE PoE 740W, 2x10G SFP+, LAN Base",Switch,Fixed,RCKMNT-1RU-2KX,,,,,,,,,,,C2960X-BLANK,,,RJ45,14.5 x 17.5 x 1.75,12.9,560,,
WS-C2960X-48FPS- L,"Catalyst 2960-X 48 GigE PoE 740W, 4 x 1G SFP, LAN Base",Switch,Fixed,RCKMNT-1RU-2KX,,,,,,,,,,,C2960X-BLANK,,,RJ45,14.5 x 17.5 x 1.75,12.9,561,,
WS-C2960X-48FPS-L-WS,"Catalyst 2960-X 48 GE PoE 740W, 4x1G SFP, LAN Base",,,,,,,,,,,,,,,,,,,,562,,
WS-C2960X-48LPD-L-WS,"Catalyst 2960X 48GigE PoE 370W 2x10G SFP+, LANBase",Switch,Fixed,RCKMNT-1RU-2KX,,,,,,,,,,,C2960X-BLANK,,,RJ45,14.5 x 17.5 x 1.75,12.9,563,,
WS-C2960X-48TD-L-WS,"Catalyst 2960-X 48 GigE, 2 x 10G SFP+, LAN Base",Switch,Fixed,RCKMNT-1RU-2KX,,,,,,,,,,,C2960X-BLANK,,,RJ45,11 x 17.5 x 1.75,9.6,564,,
WS-C2960X-48TS-LL,CATALYST 2960-X 48 GIGE,Switch,Fixed,RCKMNT-1RU-2KX,,,,,,,,,,,C2960X-BLANK,,,RJ45,11 x 17.5 x 1.75,8.9,565,,
WS-C2960X-48TS-L-WS,"Catalyst 2960-X 48 GigE, 4 x 1G SFP, LAN Base",Switch,Fixed,RCKMNT-1RU-2KX,,,,,,,,,,,C2960X-BLANK,,,RJ45,11 x 17.5 x 1.75,9.4,566,,
WS-C2960XR-24PS-I,"CATALYST 2960-XR 24 GIGE POE 370W,",Switch,Modular,RCKMNT-1RU-2KX,PWR-C2-640WAC,,,,,,,,,,C2960X-BLANK,,,RJ45,16 x 17.5 x 1.75,13.7,567,,
WS-C2960XR-24TS-I,"CATALYST 2960-XR 24 GIGE,",Switch,Modular,RCKMNT-1RU-2KX,PWR-C2-250WAC,,,,,,,,,,C2960X-BLANK,,,RJ45,16 x 17.5 x 1.75,13,568,,
WS-C2960XR-48FPD-I,"CATALYST 2960-XR 48 GIGE POE 740W,",Switch,Modular,RCKMNT-1RU-2KX,PWR-C2-1025WAC,,,,,,,,,,C2960X-BLANK,,,RJ45,16 x 17.5 x 1.75,14.6,569,,
WS-C2960XR-48FPS-I,"CATALYST 2960-XR 48 GIGE POE 740W,",Switch,Modular,RCKMNT-1RU-2KX,PWR-C2-1025WAC,,,,,,,,,,C2960X-BLANK,,,RJ45,16 x 17.5 x 1.75,14.7,570,,
WS-C2960XR-48LPD-I,-WS  CATALYST 2960-XR 48,Switch,Modular,RCKMNT-1RU-2KX,PWR-C2-640WAC,,,,,,,,,,C2960X-BLANK,,,RJ45,16 x 17.5 x 1.75,14,571,,
WS-C2960XR-48LPS-I,CATALYST 2960-XR 48 GIGE POE 370W,Switch,Modular,RCKMNT-1RU-2KX,PWR-C2-640WAC,,,,,,,,,,C2960X-BLANK,,,RJ45,16 x 17.5 x 1.75,14.2,572,,
WS-C3550-48-EMI,48-10/100 + 2 GBIC ports: EMI,Switch,Fixed,RCKMNT-1RU-3550,,,,,,,,,,,,,,RJ45,17.5 x 16.3 x 1.75,13,573,,
WS-C3560-12PC-S,Catalyst 3560 Compact 12 10/100 PoE,Switch,Fixed,RCKMNT-19-CMPCT=,,,,,,,,,,,,,,RJ45,10.6 x 9.1 x 1.73,5,574,,
WS-C3560-24PS-E,Catalyst 3560 24 10/100 PoE + 2 SFP,Switch,Fixed,RCKMNT-1RU=,,,,,,,,,,,,,,RJ45,17.5 x 11.8 x 1.73,11.3,575,,
WS-C3560-48PS-E,Catalyst 3560 48 10/100 PoE + 4 SFP,Switch,Fixed,RCKMNT-1RU=,,,,,,,,,,,,,,RJ45,14.85 x 17.5 x 1.73,13.2,576,,
WS-C3560C-12PC-S,"Catalyst 3560C Switch 12 FE PoE, 2",Switch,Fixed,RCKMNT-19-CMPCT=,,,,,,,,,,,,,,RJ45,10.6 x 9.4 x 1.75,4.1,577,,
WS-C3560C-8PC-S,"Catalyst 3560C Switch 8 FE PoE, 2 x",Switch,Fixed,RCKMNT-19-CMPCT=,,,,,,,,,,,,,,RJ45,10.6 x 9.4 x 1.75,4.1,578,,
WS-C3560CG-8PC-S,"Catalyst 3560C Switch 8 GE PoE(+),",Switch,Fixed,RCKMNT-19-CMPCT=,,,,,,,,,,,,,,RJ45,10.6 x 9.4 x 1.75,4.3,579,,
WS-C3560CX-12PC-S,"3560-CX SWITCH 12 GE POE+, UPLINKS",Switch,Fixed,RCKMNT-19-CMPCT=,,,,,,,,,,,,,,RJ45,10.6 x 9.4 x 1.75,5.1,580,,
WS-C3560CX12PC-S-WS,Catalyst 3560-CX 12 Port PoE IP Base,,,,,,,,,,,,,,,,,,,,581,,
WS-C3560CX-12PC-S-WS,"3560-CX Switch 12 GE PoE+, uplinks: 2 x 1G SFP and",,,,,,,,,,,,,,,,,,,,582,,
WS-C3560CX12PD-S-WS,"Catalyst 3560-CX 12 Port PoE,10G Uplinks IP Base",,,,,,,,,,,,,,,,,,,,583,,
WS-C3560CX-12PD-S-WS,CISCO CATALYST 3560-CX 12 PORT POE,Switch,Fixed,RCKMNT-19-CMPCT=,,,,,,,,,,,,,,RJ45,10.6 x 9.4 x 1.75,5.1,584,,
WS-C3560CX-12TC-S,CISCO CATALYST 3560-CX 12 PORT,Switch,Fixed,RCKMNT-19-CMPCT=,,,,,,,,,,,,,,RJ45,10.6 x 8.4 x 1.75,3.9,585,,
WS-C3560CX-8PC-S-WS,Catalyst 3560-CX 8 Port PoE IP Base,Switch,Fixed,RCKMNT-19-CMPCT=,,,,,,,,,,,,,,RJ45,10.6 x 9.4 x 1.75,5,586,,
WS-C3560CX-8PT-S,3560CX-8PT-S - SWITCH - 8 PORTS -,Switch,Fixed,RCKMNT-19-CMPCT=,,,,,,,,,,,,,,RJ45,10.6 x 7 x 1.75,3.5,587,,
WS-C3560CX-8XPD-S-WS,"3560-CX SWITCH 6 GE POE+, 2 MULTIGE",Switch,Fixed,RCKMNT-19-CMPCT=,,,,,,,,,,,,,,RJ45,10.6 x 10.4 x 1.75,6,588,,
WS-C3560E-12D-E,Catalyst 3560E 12 Ten GE (X2),Switch,Modular,RCKMNT-E-1RU,C3K-PWR-300WAC,C3K-PWR-300WDC,C3K-FAN-16CFM,,,,,,,,,,,RJ45,17.5 x 19.5 x 1.75,23.5,589,AC OR DC option,
WS-C3560E-24PD-S,Catalyst 3560E 24 10/100/1000,Switch,Modular,RCKMNT-E-1RU,C3K-PWR-750WAC,,,,,,,,,,,,,RJ45,17.5 x 17.4 x 1.75,18.3,590,,
WS-C3560E-48PD-S,Catalyst 3560E 48 10/100/1000,Switch,Modular,RCKMNT-E-1RU,C3K-PWR-750WAC,,,,,,,,,,,,,RJ45,17.5 x 17.4 x 1.75,19.2,591,,
WS-C3560E-48PD-SF,Catalyst 3560E 48 10/100/1000,Switch,Modular,RCKMNT-E-1RU,C3K-PWR-1150WAC,,,,,,,,,,,,,RJ45,17.5 x 21.7 x 1.75,20.9,592,,
WS-C3560E-48TD-S,Catalyst 3560E 48,Switch,Modular,RCKMNT-E-1RU,C3K-PWR-265WAC,C3K-PWR-265WDC,,,,,,,,,,,,RJ45,17.5 x 17.4 x 1.75,17.9,593,,
WS-C3560G-24PS-S,Catalyst 3560 24 10/100/1000T PoE +,Switch,Fixed,RCKMNT-1RU,,,,,,,,,,,,,,RJ45,17.5 x 14.9 x 1.73,12,594,,
WS-C3560G-48PS-E,Catalyst 3560 48 10/100/1000T PoE +,Switch,Fixed,RCKMNT-1RU,,,,,,,,,,,,,,RJ45,17.5 x 16.1 x 1.73,15.5,595,,
WS-C3560G-48PS-S,Catalyst 3560 48 10/100/1000T PoE +,Switch,Fixed,RCKMNT-1RU,,,,,,,,,,,,,,RJ45,17.5 x 16.1 x 1.73,13.2,596,,
WS-C3560G-48TS-S,Catalyst 3560 48 10/100/1000T + 4,Switch,Fixed,RCKMNT-1RU,,,,,,,,,,,,,,RJ45,17.5 x 16.1 x 1.73,14,597,,
WS-C3560V2-24PS-S,Catalyst 3560V2 24 10/100 PoE + 2,Switch,Fixed,RCKMNT-1RU,,,,,,,,,,,,,,RJ45,17.46 x 11.62 x 1.73,10,598,,
WS-C3560V2-48PS-S,Catalyst 3560V2 48 10/100 PoE + 4,Switch,Fixed,RCKMNT-1RU,,,,,,,,,,,,,,RJ45,17.46 x 11.62 x 1.73,11,599,,
WS-C3560X-24P-L,Catalyst 3560X 24 Port PoE LAN Base,Switch,Modular,"C3KX-ACC-KIT, C3KX-RACK-KIT",C3KX-PWR-715WAC,C3KX-PWR-440WDC,C3KX-FAN-23CFM,,,,,,,,C3KX-NM-BLANK,,,RJ45,17.5 x 18 x 1.75,15.7,600,AC OR DC option,
WS-C3560X-24P-S,Catalyst 3560X 24 Port PoE IP Base,Switch,Modular,"C3KX-ACC-KIT, C3KX-RACK-KIT",C3KX-PWR-715WAC,C3KX-PWR-440WDC,C3KX-FAN-23CFM,,,,,,,,C3KX-NM-BLANK,,,RJ45,17.5 x 18 x 1.75,15.7,601,AC OR DC option,
WS-C3560X-24T-S,Catalyst 3560X 24 Port Data IP Base,Switch,Modular,"C3KX-ACC-KIT, C3KX-RACK-KIT",C3KX-PWR-350WAC,C3KX-PWR-440WDC,C3KX-FAN-23CFM,,,,,,,,C3KX-NM-BLANK,,,RJ45,17.5 x 18 x 1.75,15.4,602,AC OR DC option,
WS-C3560X-48P-E,Catalyst 3560X 48 Port PoE IP,Switch,Modular,"C3KX-ACC-KIT, C3KX-RACK-KIT",C3KX-PWR-715WAC,C3KX-PWR-440WDC,C3KX-FAN-23CFM,,,,,,,,C3KX-NM-BLANK,,,RJ45,17.5 x 18 x 1.75,16.4,603,AC OR DC option,
WS-C3560X-48PF-E,Catalyst 3560X 48 Port Full PoE IP,Switch,Modular,"C3KX-ACC-KIT, C3KX-RACK-KIT",C3KX-PWR-1100WAC,C3KX-PWR-440WDC,C3KX-FAN-23CFM,,,,,,,,C3KX-NM-BLANK,,,RJ45,17.5 x 19.5 x 1.75,16.6,604,AC OR DC option,
WS-C3560X-48U-S,"Standalone 48 10/100/1000 Ethernet UPOE ports, with 1100W AC",Switch,Modular,"C3KX-ACC-KIT, C3KX-RACK-KIT",C3KX-PWR-1100WAC,C3KX-PWR-440WDC,C3KX-FAN-23CFM,,,,,,,,C3KX-NM-BLANK,,,RJ45,17.5 x 19.5 x 1.75,16.7,605,AC OR DC option,
WS-C3650-24PD-S,CISCO CATALYST 3650 24 PORT POE 2XE,Switch,Modular,ACC-KIT-T1,PWR-C2-640WAC,PWR-C2-640WDC,FAN-T1,,,,,,,,,,,RJ45,17.5 x 17.625 x 1.73,16,606,AC OR DC option,
WS-C3650-24PS-L,CISCO CATALYST 3650 24 PORT POE 4XE,Switch,Modular,ACC-KIT-T1,PWR-C2-640WAC,PWR-C2-640WDC,FAN-T1,,,,,,,,,,,RJ45,17.5 x 17.625 x 1.73,16,607,AC OR DC option,
WS-C3650-24PS-S,CISCO CATALYST 3650,Switch,Modular,ACC-KIT-T1,PWR-C2-640WAC,PWR-C2-640WDC,FAN-T1,,,,,,,,,,,RJ45,17.5 x 17.625 x 1.73,16,608,AC OR DC option,
WS-C3650-24PS-S-WS,24 Port PoE 4x1G Uplink IP Base,,,,,,,,,,,,,,,,,,,,609,,
WS-C3650-24TD-L,CISCO CATALYST 3650 24 PORT DATA,Switch,Modular,ACC-KIT-T1,PWR-C2-250WAC,PWR-C2-640WDC,FAN-T1,,,,,,,,,,,RJ45,17.5 x 17.625 x 1.73,15.15,610,AC OR DC option,
WS-C3650-24TD-S,CISCO CATALYST 3650 24,Switch,Modular,ACC-KIT-T1,PWR-C2-250WAC,PWR-C2-640WDC,FAN-T1,,,,,,,,,,,RJ45,17.5 x 17.625 x 1.73,15.15,611,AC OR DC option,
WS-C3650-24TS-E,CISCO CATALYST 3650 24 PORT DATA,Switch,Modular,ACC-KIT-T1,PWR-C2-250WAC,PWR-C2-640WDC,FAN-T1,,,,,,,,,,,RJ45,17.5 x 17.625 x 1.73,15.15,612,AC OR DC option,
WS-C3650-24TS-L,STACKING 24 10/100/1000 ETHERNET,Switch,Modular,ACC-KIT-T1,PWR-C2-250WAC,PWR-C2-640WDC,FAN-T1,,,,,,,,,,,RJ45,17.5 x 17.625 x 1.73,15.15,613,AC OR DC option,
WS-C3650-24TS-S,CISCO CATALYST 3650 24 PORT DATA,Switch,Modular,ACC-KIT-T1,PWR-C2-250WAC,PWR-C2-640WDC,FAN-T1,,,,,,,,,,,RJ45,17.5 x 17.625 x 1.73,15.15,614,AC OR DC option,
WS-C3650-48FD-E,CISCO CATALYST 3650 48,Switch,Modular,ACC-KIT-T1,PWR-C2-1025WAC,PWR-C2-640WDC,FAN-T1,,,,,,,,,,,RJ45,17.5 x 19.125 x 1.73,17.2,615,AC OR DC option,
WS-C3650-48FD-L,CISCO CATALYST 3650 48 PORT FULL,Switch,Modular,ACC-KIT-T1,PWR-C2-1025WAC,PWR-C2-640WDC,FAN-T1,,,,,,,,,,,RJ45,17.5 x 19.125 x 1.73,17.2,616,AC OR DC option,
WS-C3650-48FD-L-WS,Cisco Catalyst 3650 48 Port Full PoE 2x10G Uplink LAN Base,,,,,,,,,,,,,,,,,,,,617,,
WS-C3650-48FD-S,CISCO CATALYST 3650 48,Switch,Modular,ACC-KIT-T1,PWR-C2-1025WAC,PWR-C2-640WDC,FAN-T1,,,,,,,,,,,RJ45,17.5 x 19.125 x 1.73,17.2,618,AC OR DC option,
WS-C3650-48FD-S-WS,Catalyst 3650 48 port Full PoE 2x10 Uplink IP Base,,,,,,,,,,,,,,,,,,,,619,,
WS-C3650-48FS-E,Cisco Catalyst 3650 48 Port Full PoE 4x1G Uplink IP Services,Switch,Modular,ACC-KIT-T1,PWR-C2-1025WAC,PWR-C2-640WDC,FAN-T1,,,,,,,,,,,RJ45,17.5 x 19.125 x 1.73,17.2,620,AC OR DC option,
WS-C3650-48FS-L,CISCO CATALYST 3650 48 PORT FULL PE,Switch,Modular,ACC-KIT-T1,PWR-C2-1025WAC,PWR-C2-640WDC,FAN-T1,,,,,,,,,,,RJ45,17.5 x 19.125 x 1.73,17.2,621,AC OR DC option,
WS-C3650-48FS-S-WS,Catalyst 3650 48 port Full PoE 4x1G Uplink IPBase,Switch,Modular,ACC-KIT-T1,PWR-C2-1025WAC,PWR-C2-640WDC,FAN-T1,,,,,,,,,,,RJ45,17.5 x 19.125 x 1.73,17.2,622,AC OR DC option,
WS-C3650-48PD-E,CISCO CATALYST 3650 48 PORT POE 2XS,Switch,Modular,ACC-KIT-T1,PWR-C2-640WAC,PWR-C2-640WDC,FAN-T1,,,,,,,,,,,RJ45,17.5 x 17.625 x 1.73,16.75,623,AC OR DC option,
WS-C3650-48PD-L,Standalone with Optional Stacking 48 10/100/1000 Ethernet,Switch,Modular,ACC-KIT-T1,PWR-C2-640WAC,PWR-C2-640WDC,FAN-T1,,,,,,,,,,,RJ45,17.5 x 17.625 x 1.73,16.75,624,AC OR DC option,
WS-C3650-48PD-S,CISCO CATALYST 3650 48 PORT POE,Switch,Modular,ACC-KIT-T1,PWR-C2-640WAC,PWR-C2-640WDC,FAN-T1,,,,,,,,,,,RJ45,17.5 x 17.625 x 1.73,16.75,625,AC OR DC option,
WS-C3650-48PD-S-WS,Standalone with Opt. Stacking 48 10/100/1000 Ethernet PoE,,,,,,,,,,,,,,,,,,,,626,,
WS-C3650-48PS-E,CISCO CATALYST 3650 48 PORT POE,Switch,Modular,ACC-KIT-T1,PWR-C2-640WAC,PWR-C2-640WDC,FAN-T1,,,,,,,,,,,RJ45,17.5 x 17.625 x 1.73,16.75,627,AC OR DC option,
WS-C3650-48PS-S,CISCO CATALYST 3650 48 PORT,Switch,Modular,ACC-KIT-T1,PWR-C2-640WAC,PWR-C2-640WDC,FAN-T1,,,,,,,,,,,RJ45,17.5 x 17.625 x 1.73,16.75,628,AC OR DC option,
WS-C3650-48PS-S-WS,Catalyst 3650 48 port Full PoE 4x1G Uplink IP Base,,,,,,,,,,,,,,,,,,,,629,,
WS-C3650-48TD-L,CISCO CATALYST 3650 48 PORT DATA,Switch,Modular,ACC-KIT-T1,PWR-C2-250WAC,PWR-C2-640WDC,FAN-T1,,,,,,,,,,,RJ45,17.5 x 17.625 x 1.73,15.9,630,AC OR DC option,
WS-C3650-48TQ-E,Cisco Catalyst 3650 48 Port Data 4x10G Uplink IP Services,Switch,Modular,ACC-KIT-T1,PWR-C2-250WAC,PWR-C2-640WDC,FAN-T1,,,,,,,,,,,RJ45,17.5 x 17.625 x 1.73,15.9,631,AC OR DC option,
WS-C3650-48TQ-L,CISCO CATALYST 3650 48 PORT DATA 4E,Switch,Modular,ACC-KIT-T1,PWR-C2-250WAC,PWR-C2-640WDC,FAN-T1,,,,,,,,,,,RJ45,17.5 x 17.625 x 1.73,15.9,632,AC OR DC option,
WS-C3650-48TQ-S,CISCO CATALYST 3650 48 PORT DATA,Switch,Modular,ACC-KIT-T1,PWR-C2-250WAC,PWR-C2-640WDC,FAN-T1,,,,,,,,,,,RJ45,17.5 x 17.625 x 1.73,15.9,633,AC OR DC option,
WS-C3750-24PS-E,Catalyst 3750 24 10/100 PoE + 2 SFP,Switch,Fixed,RCKMNT-1RU,,,,,,,,,,,,,,RJ45,17.5 x 11.8 x 1.73,11.3,634,,
WS-C3750-24PS-S,Catalyst 3750 24 10/100 PoE + 2 SFP,Switch,Fixed,RCKMNT-1RU,,,,,,,,,,,,,,RJ45,17.5 x 11.8 x 1.73,11.3,635,,
WS-C3750-48PS-S,Catalyst 3750 48 10/100 PoE + 4 SFP,Switch,Fixed,RCKMNT-1RU,,,,,,,,,,,,,,RJ45,17.5 x 14.8 x 1.73,13.2,636,,
WS-C3750-48TS-E,Catalyst 3750 48 10/100 + 4 SFP,Switch,Fixed,RCKMNT-1RU,,,,,,,,,,,,,,RJ45,17.5 x 11.8 x 1.73,14,637,,
WS-C3750-48TS-S,Catalyst 3750 48 10/100 + 4 SFP,Switch,Fixed,RCKMNT-1RU,,,,,,,,,,,,,,RJ45,17.5 x 11.8 x 1.73,14,638,,
WS-C3750E-48TD-E,Catalyst 3750E 48,Switch,Modular,RCKMNT-1RU,C3K-PWR-265WAC,C3K-PWR-265WDC,,,,,,,,,,,,RJ45,17.5 x 18.1 x 1.75,18.8,639,,
WS-C3750G-12S-E,Catalyst 3750 12 SFP + IPS Image,Switch,Fixed,RCKMNT-1RU,,,,,,,,,,,,,,RJ45,17.5 x 12.8 x 1.73,10,640,,
WS-C3750G-12S-S,Catalyst 3750 12 SFP + IPB Image,Switch,Fixed,RCKMNT-1RU,,,,,,,,,,,,,,RJ45,17.5 x 12.8 x 1.73,10,641,,
WS-C3750G-12S-SD,Catalyst 3750 12 SFP DC powered +,Switch,Fixed,RCKMNT-1RU,,,,,,,,,,,,,,RJ45,17.5 x 12.8 x 1.73,9.1,642,,
WS-C3750G-24PS-S,Catalyst 3750 24 10/100/1000T PoE +,Switch,Fixed,RCKMNT-1RU,,,,,,,,,,,,,,RJ45,17.5 x 14.9 x 1.73,11.3,643,,
WS-C3750G-24T-E,Catalyst 3750 24 10/100/1000T + IPS,Switch,Fixed,RCKMNT-1RU,,,,,,,,,,,,,,RJ45,17.5 x 12.8 x 1.73,10,644,,
WS-C3750G-24T-S,Catalyst 3750 24 10/100/1000T + IPB,Switch,Fixed,RCKMNT-1RU,,,,,,,,,,,,,,RJ45,17.5 x 12.8 x 1.73,10,645,,
WS-C3750G-24TS-S,Catalyst 3750 24 10/100/1000 + 4,Switch,Fixed,RCKMNT-1RU,,,,,,,,,,,,,,RJ45,17.5 x 11.8 x 1.73,8,646,,
WS-C3750G-24TS-S1U,Catalyst 3750 24 10/100/1000 + 4,Switch,Fixed,RCKMNT-1RU,,,,,,,,,,,,,,RJ45,17.5 x 14.9 x 1.73,12,647,,
WS-C3750G-48PS-E,Catalyst 3750 48 10/100/1000T PoE +,Switch,Fixed,RCKMNT-1RU,,,,,,,,,,,,,,RJ45,17.5 x 16.1 x 1.73,13.2,648,,
WS-C3750G-48PS-S,Catalyst 3750 48 10/100/1000T PoE +,Switch,Fixed,RCKMNT-1RU,,,,,,,,,,,,,,RJ45,17.5 x 16.1 x 1.73,13.2,649,,
WS-C3750G-48TS-E,Catalyst 3750 48 10/100/1000T + 4,Switch,Fixed,RCKMNT-1RU,,,,,,,,,,,,,,RJ45,17.5 x 16.1 x 1.73,14,650,,
WS-C3750V2-48PS-S,Catalyst 3750V2 48 10/100 PoE + 4,Switch,Fixed,RCKMNT-1RU,,,,,,,,,,,,,,RJ45,17.5 x 14.8 x 1.73,13.2,651,,
WS-C3750X-12S-E,Catalyst 3750X 12 Port GE SFP IP,Switch,Modular,"C3KX-ACC-KIT, C3KX-RACK-KIT",C3KX-PWR-350WAC,C3KX-PWR-440WDC,C3KX-FAN-23CFM,,,,,,,,C3KX-NM-BLANK,,,RJ45,17.5 x 18 x 1.75,15,652,AC OR DC option,
WS-C3750X-12S-S,Catalyst 3750X 12 Port GE SFP IP,Switch,Modular,"C3KX-ACC-KIT, C3KX-RACK-KIT",C3KX-PWR-350WAC,C3KX-PWR-440WDC,C3KX-FAN-23CFM,,,,,,,,C3KX-NM-BLANK,,,RJ45,17.5 x 18 x 1.75,15,653,AC OR DC option,
WS-C3750X-24P-E,Catalyst 3750X 24 Port PoE IP,Switch,Modular,"C3KX-ACC-KIT, C3KX-RACK-KIT",C3KX-PWR-715WAC,C3KX-PWR-440WDC,C3KX-FAN-23CFM,,,,,,,,C3KX-NM-BLANK,,,RJ45,17.5 x 18 x 1.75,15.8,654,AC OR DC option,
WS-C3750X-24S-E,Catalyst 3750X 24 Port GE SFP IP,Switch,Modular,"C3KX-ACC-KIT, C3KX-RACK-KIT",C3KX-PWR-350WAC,C3KX-PWR-440WDC,C3KX-FAN-23CFM,,,,,,,,C3KX-NM-BLANK,,,RJ45,17.5 x 18 x 1.75,15.4,655,AC OR DC option,
WS-C3750X-24T-E,Catalyst 3750X 24 Port Data IP,Switch,Modular,"C3KX-ACC-KIT, C3KX-RACK-KIT",C3KX-PWR-350WAC,C3KX-PWR-440WDC,C3KX-FAN-23CFM,,,,,,,,C3KX-NM-BLANK,,,RJ45,17.5 x 18 x 1.75,15.6,656,AC OR DC option,
WS-C3750X-24T-L,Catalyst 3750X 24 Port Data LAN,Switch,Modular,"C3KX-ACC-KIT, C3KX-RACK-KIT",C3KX-PWR-350WAC,C3KX-PWR-440WDC,C3KX-FAN-23CFM,,,,,,,,C3KX-NM-BLANK,,,RJ45,17.5 x 18 x 1.75,15.6,657,AC OR DC option,
WS-C3750X-48PF-E,Catalyst 3750X 48 Port Full PoE IP,Switch,Modular,"C3KX-ACC-KIT, C3KX-RACK-KIT",C3KX-PWR-1100WAC,C3KX-PWR-440WDC,C3KX-FAN-23CFM,,,,,,,,C3KX-NM-BLANK,,,RJ45,17.5 x 19.5 x 1.75,16.7,658,AC OR DC option,
WS-C3750X-48PF-L,Catalyst 3750X 48 Port Full PoE LAN,Switch,Modular,"C3KX-ACC-KIT, C3KX-RACK-KIT",C3KX-PWR-1100WAC,C3KX-PWR-440WDC,C3KX-FAN-23CFM,,,,,,,,C3KX-NM-BLANK,,,RJ45,17.5 x 19.5 x 1.75,16.7,659,AC OR DC option,
